id,title,text,label
1,Government plans to build a new bridge,The government has announced a new plan to build a bridge...,0
2,Aliens spotted in New York City!,Several witnesses report seeing UFOs hovering over NYC...,1
3,New study reveals the benefits of chocolate,A recent study shows that consuming chocolate can improve health...,0
4,Scientists develop new energy source from water,A group of scientists has developed a revolutionary way to extract energy from water...,0
5,Fake news detection system released,A new system designed to detect fake news was launched today...,1
6,President announces new policy on education,The president has introduced a new education policy to help improve schools...,0
7,Mysterious creature found in the Amazon forest,A mysterious creature has been found deep in the Amazon forest...,1
8,New breakthrough in cancer research,Scientists have made a significant breakthrough in the fight against cancer...,0
9,Zombie apocalypse predicted for next year,A group of conspiracy theorists predict that a zombie apocalypse will occur next year...,1
10,Mars mission successfully lands on the planet,"The Mars mission has successfully landed on the planet, making history...",0
